,neighborhood,neighborhood2
0,Harlem,36
1,East Williamsburg,25
2,Clinton Hill,14
3,Upper West Side,68
4,Times Square,64
5,Hell's Kitchen,37
6,Park Slope,55
7,Williamsburg,72
8,Alphabet City,0
9,Fort Greene,30
10,Chelsea,12
11,Midtown,47
12,South Williamsburg,61
13,Chinatown,13
14,Upper East Side,67
15,Lower East Side,43
16,East Village,24
17,Crown Heights,17
18,Washington Heights,70
19,Greenpoint,34
20,Bedford-Stuyvesant,3
21,East Harlem,22
22,Morningside Heights,50
23,Boerum Hill,5
24,Prospect Heights,56
25,Gramercy Park,32
26,Tribeca,66
27,Kips Bay,41
28,Inwood,39
29,Financial District,26
30,Downtown Brooklyn,19
31,Murray Hill,51
32,Bushwick,9
33,Brooklyn Heights,7
34,Yorkville,74
35,Meatpacking District,46
36,Flatbush,27
37,Midtown East,48
38,Cobble Hill,15
39,East New York,23
40,Nolita,53
41,West Village,71
42,Times Square/Theatre District,65
43,Flatiron District,28
44,Theatre District,63
45,Windsor Terrace,73
46,Canarsie,10
47,Sunset Park,62
48,Midwood,49
49,Gowanus,31
50,North Williamsburg,54
51,Greenwich Village,35
52,Marble Hill,45
53,Soho,60
54,Gravesend,33
55,Kensington,40
56,Carroll Gardens,11
57,DUMBO,18
58,East Flatbush,21
59,Roosevelt Island,58
60,Noho,52
61,Bay Ridge,2
62,Brighton Beach,6
63,Little Italy,42
64,Battery Park City,1
65,Red Hook,57
66,Brownsville,8
67,Vinegar Hill,69
68,Bensonhurst,4
69,Dyker Heights,20
70,Hudson Square,38
71,Manhattan Beach,44
72,Flatlands,29
73,Sheepshead Bay,59
74,Coney Island,16
